Date,Open,High,Low,Close,Adj Close,Volume
2021-06-25,312.299988,314.279999,308.989990,311.540009,311.540009,355500
2021-06-28,312.500000,314.179993,309.709991,312.440002,312.440002,239100
2021-06-29,311.309998,315.910004,309.799988,313.269989,313.269989,207000
2021-06-30,314.369995,319.359985,309.920013,312.109985,312.109985,266100
2021-07-01,311.019989,317.570007,311.019989,312.910004,312.910004,276200
2021-07-02,315.489990,318.220001,312.790009,317.019989,317.019989,178100
2021-07-06,317.279999,328.200012,317.119995,326.709991,326.709991,275400
2021-07-07,328.299988,335.890015,325.279999,334.529999,334.529999,283600
2021-07-08,331.859985,331.859985,322.000000,325.040009,325.040009,240200
2021-07-09,324.670013,327.140015,321.309998,324.769989,324.769989,174900
2021-07-12,324.660004,326.019989,319.450012,322.140015,322.140015,190300
2021-07-13,320.690002,322.609985,317.369995,319.130005,319.130005,137000
2021-07-14,319.500000,321.119995,311.589996,312.299988,312.299988,131100
2021-07-15,311.209991,314.179993,305.760010,310.190002,310.190002,162600
2021-07-16,311.350006,318.579987,309.970001,317.980011,317.980011,152200
2021-07-19,316.809998,317.079987,311.000000,314.619995,314.619995,130700
2021-07-20,315.470001,324.809998,315.470001,323.589996,323.589996,214900
2021-07-21,325.170013,325.170013,318.500000,322.850006,322.850006,133500
2021-07-22,323.989990,323.989990,319.519989,323.540009,323.540009,106500
2021-07-23,327.440002,328.839996,323.839996,328.519989,328.519989,148000
